eventTimeUs,eventName,outcome,frameId,streamId,codec,keyFrame,largeFrame,chunkCount,receivedChunks,missingChunks,fecParityPackets,fecRecoveredChunks,nackCount,postNackReceivedChunks,nackRequestedChunks,retransmitReceivedChunks,retransmitDuplicatePackets,emergencyRepairReceivedChunks,emergencyRepairDuplicatePackets,lastPacketSequence,lastPacketChunkIndex,lastRetransmitSequence,lastRetransmitChunkIndex,eventPacketSequence,eventPacketChunkIndex,eventPacketWasRetransmit,eventPacketWasEmergencyRepair,recoveryExpireTimeUs,recoverySlackMs,lastUpdateTimeUs,lastUpdateAgeMs,recentArrivalIntervalMs,likelyArrivalSuppressionCount,likelyArrivalWindowHit,likelyArrivalRecentHit,likelyArrivalTightCadenceHit,likelyArrivalFecParityHit,likelyArrivalFecRecoverableHit,keyTinyLastChanceNackSent,keyTinyLastChanceMissingChunks,keyTinyLastChanceSlackMs,sendTimeUs,firstReceiveTimeUs,ageMs
619470594201,nack-deferred-likely-arrival,pending,1428,1,H.264,0,1,21,20,1,5,5,2,4,14,0,0,0,0,40995,15,0,0,0,0,0,0,619470626779,32.578,619470573665,20.536,0.248,1,1,0,1,1,0,0,0,0,619470486779,619470494403,99.798
619470598637,fec-parity,pending,1429,1,H.264,0,1,21,9,12,3,0,0,0,0,0,0,0,0,41025,19,0,0,0,0,0,0,619470680923,82.286,619470540923,57.714,50.397,0,0,0,0,1,0,0,0,0,619470540923,619470559528,39.109
619470598637,nack-deferred-likely-arrival,pending,1428,1,H.264,0,1,21,20,1,5,5,2,4,14,0,0,0,0,40995,15,0,0,0,0,0,0,619470626779,28.142,619470573665,24.972,0.248,2,1,0,1,1,0,0,0,0,619470486779,619470494403,104.234
619470601375,fec-parity,pending,1430,1,H.264,0,1,21,4,17,1,0,0,0,0,0,0,0,0,41045,13,0,0,0,0,0,0,619470726882,125.507,619470586882,14.493,4.611,0,1,0,1,1,0,0,0,0,619470586882,619470591145,10.23
619470601375,nack-sent,pending,1429,1,H.264,0,1,21,9,12,3,0,1,0,12,0,0,0,0,41025,19,0,0,0,0,0,0,619470680923,79.548,619470598637,2.738,57.714,0,1,1,0,1,0,0,0,0,619470540923,619470559528,41.847
619470607947,fec-parity,pending,1429,1,H.264,0,1,21,9,12,4,0,1,0,12,0,0,0,0,41025,19,0,0,0,0,0,0,619470680923,72.976,619470540923,67.024,57.714,0,1,0,0,1,1,0,0,0,619470540923,619470559528,48.419
619470607947,fec-recovered,pending,1429,1,H.264,0,1,21,10,11,4,1,1,0,12,0,0,0,0,41025,19,0,0,0,0,0,0,619470680923,72.976,619470607947,0,67.024,0,1,1,0,1,0,0,0,0,619470540923,619470559528,48.419
619470607947,nack-sent,pending,1428,1,H.264,0,1,21,20,1,5,5,3,4,15,0,0,0,0,40995,15,0,0,0,0,0,0,619470626779,18.832,619470573665,34.282,0.248,2,1,0,1,1,0,0,0,0,619470486779,619470494403,113.544
619470614885,expired-no-slack,expired,1428,1,H.264,0,1,21,20,1,5,5,3,4,15,0,0,0,0,40995,15,0,0,0,0,0,0,619470626779,11.894,619470573665,41.22,0.248,2,1,0,1,1,0,0,0,0,619470486779,619470494403,120.482
619470615269,fec-recovered,pending,1430,1,H.264,0,1,21,9,12,1,1,0,0,0,0,0,0,0,41036,4,0,0,0,0,0,0,619470726882,111.613,619470615269,0,0.032,0,1,1,1,1,0,0,0,0,619470586882,619470591145,24.124
